global_rank,step,eval/aime24_mean_fitness,eval/aime25_mean_fitness,eval/amc_mean_fitness,eval/math_mean_fitness,eval/minerva_mean_fitness,eval/olympiad_bench_mean_fitness,training_time_s,run,composite_score
1,10,0.6015625,0.453125,0.7890625,0.90625,0.453125,0.484375,59964.44082856178,rebuttal-orz-grpo-math2_orz57k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774570928,0.6145833333333334
2,10,0.578125,0.3671875,0.765625,0.9453125,0.453125,0.5390625,71987.9944384098,rebuttal-deepscaler-grpo-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774570910,0.6080729166666666
3,10,0.5546875,0.3828125,0.7578125,0.9296875,0.4609375,0.5390625,71970.50633239746,rebuttal-deepscaler-grpo-vllm-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774607034,0.6041666666666666
4,10,0.515625,0.4453125,0.765625,0.90625,0.4140625,0.5,59691.74129629135,rebuttal-orz-grpo-vllm-math2_orz57k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774607020,0.5911458333333334
5,10,0.5390625,0.390625,0.78125,0.921875,0.3984375,0.515625,81108.32035851479,rebuttal-deepscaler-grpo-vllm-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774607523,0.5911458333333334
6,10,0.4921875,0.3359375,0.75,0.9296875,0.453125,0.53125,68019.3393497467,rebuttal-orz-grpo-vllm-math2_orz57k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774607028,0.58203125
7,10,0.4765625,0.4140625,0.765625,0.90625,0.4140625,0.484375,67471.24727749825,rebuttal-orz-grpo-math2_orz57k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774570410,0.5768229166666666
8,10,0.515625,0.3203125,0.75,0.8984375,0.4140625,0.5390625,80794.38209104538,rebuttal-deepscaler-grpo-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774569886,0.5729166666666666
9,20,0.3125,0.203125,0.546875,0.8515625,0.3359375,0.3515625,78527.55685782433,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P16384-B16-S1-no_std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774570885,0.43359375
10,20,0.2578125,0.1875,0.53125,0.78125,0.359375,0.3359375,77018.23436403275,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l4096-n4-lr0.001-sigma0.001-r1-alpha1-seed0-gpus1--1774567856,0.4088541666666667
