global_rank,step,eval/aime24_mean_fitness,eval/aime25_mean_fitness,eval/math_mean_fitness,eval/minerva_mean_fitness,eval/olympiad_bench_mean_fitness,training_time_s,run,composite_score
1,70,0.1796875,0.1953125,0.8359375,0.3125,0.3515625,85963.02228140831,rebuttal-deepscaler-base-math2_deepscaler40k-Qwen3-4B-Base-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774722740,0.375
2,10,0.1484375,0.234375,0.859375,0.3125,0.3125,11675.928773880005,rebuttal-orz-base-math2_orz57k-Qwen3-4B-Base-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774721397,0.3734375
3,10,0.140625,0.2421875,0.859375,0.28125,0.3125,20106.887031555176,rebuttal-orz-base-math2_orz57k-Qwen3-4B-Base-P16384-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774722062,0.3671875
4,50,0.140625,0.171875,0.875,0.3046875,0.3203125,81572.56093931198,rebuttal-orz-base-math2_orz57k-Qwen3-4B-Base-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774720938,0.3625
5,70,0.15625,0.203125,0.8515625,0.3046875,0.296875,75624.37334871292,rebuttal-deepscaler-base-math2_deepscaler40k-Qwen3-4B-Base-P4096-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774722082,0.3625
6,20,0.1328125,0.1640625,0.875,0.296875,0.328125,39071.11560845375,rebuttal-orz-base-math2_orz57k-Qwen3-4B-Base-P16384-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774722062,0.359375
7,70,0.1796875,0.140625,0.8515625,0.3203125,0.28125,70913.05746245384,rebuttal-orz-base-math2_orz57k-Qwen3-4B-Base-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774721397,0.3546875
8,30,0.171875,0.1328125,0.84375,0.2890625,0.328125,54986.928824186325,rebuttal-orz-base-math2_orz57k-Qwen3-4B-Base-P4096-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774720938,0.353125
9,60,0.1328125,0.1796875,0.8125,0.2734375,0.359375,55026.088952064514,rebuttal-orz-base-math2_orz57k-Qwen3-4B-Base-P4096-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774721436,0.3515625
10,30,0.0625,0.15625,0.84375,0.2890625,0.3984375,66143.75194382668,rebuttal-deepscaler-base-math2_deepscaler40k-Qwen3-4B-Base-P16384-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774722123,0.35
