global_rank,step,eval/aime24_mean_fitness,eval/amc_mean_fitness,eval/math_mean_fitness,eval/minerva_mean_fitness,eval/olympiad_bench_mean_fitness,training_time_s,run,composite_score
1,40,0.4375,0.734375,0.90625,0.4140625,0.515625,85056.68743991852,rebuttal-orz-math2_orz57k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774478238,0.6015625
2,20,0.5,0.703125,0.9296875,0.3828125,0.484375,50859.1207318306,rebuttal-orz-math2_orz57k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774478238,0.6
3,20,0.4140625,0.703125,0.9296875,0.453125,0.4921875,46286.973524808884,rebuttal-orz-math2_orz57k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774478814,0.5984375
4,30,0.4140625,0.7265625,0.9296875,0.4375,0.484375,64401.30683374405,rebuttal-orz-math2_orz57k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774478814,0.5984375
5,30,0.4609375,0.7265625,0.921875,0.421875,0.453125,79315.80009317398,rebuttal-deepscaler-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774478241,0.596875
6,40,0.421875,0.703125,0.921875,0.4140625,0.515625,80392.48492312431,rebuttal-orz-math2_orz57k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774478814,0.5953125
7,20,0.3671875,0.7421875,0.921875,0.4375,0.4453125,57877.4974834919,rebuttal-deepscaler-math2_deepscaler40k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774478241,0.5828125
8,10,0.3984375,0.7109375,0.9296875,0.4296875,0.4375,47990.657470703125,rebuttal-deepscaler-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774480987,0.58125
9,10,0.3984375,0.671875,0.9296875,0.421875,0.453125,27516.261299848557,rebuttal-orz-math2_orz57k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1774478814,0.575
10,30,0.3828125,0.65625,0.921875,0.4140625,0.5,68912.75741839409,rebuttal-orz-math2_orz57k-Qwen3-4B-P4096-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus16--1774478238,0.575
