metric,step,rank1_run,rank1_value,rank2_run,rank2_value,rank3_run,rank3_value
eval/olympiad_bench_mean_fitness,0,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.1796875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-no_scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791083,0.1796875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.1796875
eval/olympiad_bench_mean_fitness,10,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.4453125,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.3515625,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.3203125
eval/olympiad_bench_mean_fitness,20,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.0002-r1-alpha1-seed0-gpus64--1771791333,0.296875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr1.6e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791224,0.28125,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma8e-05-r1-alpha1-seed0-gpus64--1771791488,0.234375
eval/minerva_mean_fitness,0,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-no_scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791030,0.234375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.234375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.234375
eval/minerva_mean_fitness,10,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.4140625,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.40625,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.0002-r1-alpha1-seed0-gpus64--1771791333,0.3359375
eval/minerva_mean_fitness,20,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr1.6e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791224,0.34375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.0002-r1-alpha1-seed0-gpus64--1771791333,0.3203125,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr1.6e-05-sigma0.001-r1-alpha1-seed0-gpus2--1771791148,0.2734375
eval/math_mean_fitness,0,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-no_scale_lr-l4096-n4-lr1.6e-05-sigma0.001-r1-alpha1-seed0-gpus2--1771849797,0.59375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.578125,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-no_scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791083,0.578125
eval/math_mean_fitness,10,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.90625,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.859375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.84375
eval/math_mean_fitness,20,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr1.6e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791224,0.8671875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.0002-r1-alpha1-seed0-gpus64--1771791333,0.78125,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma8e-05-r1-alpha1-seed0-gpus64--1771791488,0.75
eval/gsm8k_mean_fitness,0,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-no_scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791030,0.796875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.796875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-no_scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus2--1771791099,0.796875
