metric,step,rank1_run,rank1_value,rank2_run,rank2_value,rank3_run,rank3_value
mean_fitness,0,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-no_scale_lr-l4096-n4-lr1.6e-05-sigma0.001-r1-alpha1-seed0-gpus2--1771849797,0.18505859375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-no_scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791030,0.184326171875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr1.6e-05-sigma0.001-r1-alpha1-seed0-gpus2--1771791148,0.1837158203125
mean_fitness,1,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.3135566711425781,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.27337646484375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma8e-05-r1-alpha1-seed0-gpus64--1771791431,0.2699775695800781
mean_fitness,2,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.4121513366699219,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.22874832153320312,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.21408843994140625
mean_fitness,3,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.3987007141113281,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.18848800659179688,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma8e-05-r1-alpha1-seed0-gpus64--1771791431,0.1792755126953125
mean_fitness,4,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.5856781005859375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.4765586853027344,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.438720703125
mean_fitness,5,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.6528167724609375,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.5463027954101562,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.510009765625
mean_fitness,6,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.6055984497070312,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.5108146667480469,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.463134765625
mean_fitness,7,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.8254470825195312,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.5748825073242188,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.5457687377929688
mean_fitness,8,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.5164947509765625,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.0002-r1-alpha1-seed0-gpus64--1771791289,0.4545249938964844,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.3946533203125
mean_fitness,9,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.658172607421875,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.576080322265625,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.5538330078125
mean_fitness,10,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus64--1771791074,0.7752494812011719,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P16384-B16-S1-std-scale_lr-l4096-n4-lr4e-05-sigma0.001-r1-alpha1-seed0-gpus64--1771791140,0.6830825805664062,hyperparam-sweep-4B-math2_deepscaler40k-Qwen3-4B-P512-B16-S1-std-scale_lr-l4096-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus2--1771791036,0.67236328125
